data,ticker,preco_fechamento_ajustado,volume_negociado,dy
2022-06-30,AESB3,10.55,13338691.0,0.005677374523452157
2022-07-31,AESB3,10.64,16346544.0,0.005629843015813953
2022-08-31,AESB3,9.7,25259980.0,0.011077381644329897
2022-09-30,AESB3,9.42,32418944.0,0.01140664564225053
2022-10-31,AESB3,9.9,25004097.0,0.010853596156565656
2022-11-30,AESB3,10.45,19256449.0,0.010282354253588517
2022-12-31,AESB3,9.66,17072321.0,0.011123250719461698
2023-01-31,AESB3,10.1,22539683.0,0.01063867346039604
2023-02-28,AESB3,9.92,29582045.0,0.01083171390625
2023-03-31,AESB3,9.94,25402336.0,0.01080991971327968
2023-04-30,AESB3,10.68,33999737.0,0.010060917785580525
2023-05-31,AESB3,12.18,49695674.0,0.008821888501642037
2023-06-30,AESB3,12.25,32075458.0,0.008771477710204081
2023-07-31,AESB3,11.88,57981967.0,0.009044663463804713
2023-08-31,AESB3,11.04,31617253.0,0.0
2023-09-30,AESB3,10.91,25011194.0,0.0
2023-10-31,AESB3,10.07,29619716.0,0.0
2023-11-30,AESB3,10.87,29917413.0,0.0
2012-12-31,AFLT3,1.32,23515.0,0.106227273
2013-01-31,AFLT3,1.37,0.0,0.10247003826366559
2013-02-28,AFLT3,1.56,0.0,0.08976952647887323
2013-03-31,AFLT3,1.58,0.0,0.0885227275
2013-04-30,AFLT3,1.58,0.0,0.0885227275
